Syscall,Sync,Run,Time_ms
39,RCU,1,34
39,RCU,2,33
39,RCU,3,26
39,RCU,4,34
39,RCU,5,20
39,RCU,6,22
39,RCU,7,20
39,RCU,8,17
39,RCU,9,19
39,RCU,10,18
39,RCU,11,26
39,RCU,12,20
39,RCU,13,17
39,RCU,14,19
39,RCU,15,19
39,RCU,16,23
39,RCU,17,21
39,RCU,18,16
39,RCU,19,16
39,RCU,20,16
39,Spinlock,1,43
39,Spinlock,2,46
39,Spinlock,3,47
39,Spinlock,4,45
39,Spinlock,5,43
39,Spinlock,6,40
39,Spinlock,7,37
39,Spinlock,8,29
39,Spinlock,9,42
39,Spinlock,10,45
39,Spinlock,11,44
39,Spinlock,12,44
39,Spinlock,13,44
39,Spinlock,14,43
39,Spinlock,15,43
39,Spinlock,16,40
39,Spinlock,17,48
39,Spinlock,18,46
39,Spinlock,19,44
39,Spinlock,20,44
